Date: 5/12/2015
From File
Magnet Field
C:\experiments\Alpha\Beamline\Scanfiles\Ichiro\2015_Alnico\XMCD_Co_Alnico_Lum.scn
Delay After Move (s): 0.50000000
Count Time (s): 2.00000000
Scan Number: 2
Stay at End: 1
Description Length: 0

Time of Day	Time (s)	Energy	Magnet Field	Z	Counter 0	Counter 1	Counter 2	Counter 3	Counter 6	Raw Magnet Voltage	Raw Magnet Current	Magnet Voltage	Magnet Current	Temperature A	Temperature B	Glowbar	Beam Current	Heater Power	Heater Range	Injection	Hall Probe 1	Hall Probe 2	Hall Probe 3	Hall Probe 4	AI 0	AI 1	Magnet Resistance	Gate	Energy	Aperture Position	Aperture Size	X	Y	Z	Theta	Magnet Field	Keithley Volt Source 22
02:47:33	35.56999969	760.01336670	0.50000000	55.60009384	341832.00000000	553574.00000000	0.00000000	77415.00000000	2000024.00000000	5.82548571	9.56917953	5.82687426	9.56911278	0.00000000	0.00000000	0.00000000	500.33166504	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.60892522	0.00000000	760.01336670	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	0.50000000	0.00000000
02:47:37	39.62500000	760.02099609	-0.50000000	55.60009384	341609.00000000	557208.00000000	0.00000000	77525.00000000	2000023.00000000	-5.73336601	-9.56374836	-5.74274635	-9.56303692	0.00000000	0.00000000	0.00000000	500.24392700	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.60051543	0.00000000	760.02117920	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	-0.50000000	0.00000000
02:47:41	43.89300156	761.01019287	0.50000000	55.60009384	341494.00000000	552476.00000000	0.00000000	78492.00000000	2000023.00000000	5.84013653	9.56724548	5.84459925	9.56699753	0.00000000	0.00000000	0.00000000	500.15063477	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.61091280	0.00000000	761.00909424	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	0.50000000	0.00000000
02:47:45	47.84999847	761.00146484	-0.50000000	55.60009384	341129.00000000	556178.00000000	0.00000000	77991.00000000	2000023.00000000	-5.73426580	-9.56524372	-5.74473429	-9.56461716	0.00000000	0.00000000	0.00000000	500.06158447	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.60062432	0.00000000	761.00146484	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	-0.50000000	0.00000000
02:47:49	51.83000183	761.99865723	0.50000000	55.60009384	341056.00000000	551650.00000000	0.00000000	79795.00000000	2000023.00000000	5.84395981	9.56787205	5.85326433	9.56704426	0.00000000	0.00000000	0.00000000	499.97973633	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.61181593	0.00000000	761.99975586	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	0.50000000	0.00000000
02:47:53	55.61199951	762.00085449	-0.50000000	55.60009384	341241.00000000	555876.00000000	0.00000000	79144.00000000	2000023.00000000	-5.73681211	-9.56370258	-5.75706959	-9.56062794	0.00000000	0.00000000	0.00000000	500.29980469	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.60216880	0.00000000	762.00195312	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	-0.50000000	0.00000000
02:47:57	59.65599823	763.00292969	0.50000000	55.60009384	341121.00000000	551391.00000000	0.00000000	80803.00000000	2000023.00000000	5.84415627	9.56819344	5.85170174	9.56761265	0.00000000	0.00000000	0.00000000	500.20730591	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.61161608	0.00000000	763.00183105	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	0.50000000	0.00000000
02:48:01	63.71900177	763.00732422	-0.50000000	55.60009384	340835.00000000	554947.00000000	0.00000000	81388.00000000	2000023.00000000	-5.72464752	-9.56608677	-5.73341894	-9.56491470	0.00000000	0.00000000	0.00000000	500.11935425	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.59942240	0.00000000	763.00622559	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	-0.50000000	0.00000000
02:48:05	67.98899841	763.99768066	0.50000000	55.60009384	340875.00000000	550194.00000000	0.00000000	81179.00000000	2000024.00000000	5.84620953	9.56534290	5.85094070	9.56575680	0.00000000	0.00000000	0.00000000	500.02285767	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.61165470	0.00000000	763.99987793	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	0.50000000	0.00000000
02:48:09	71.74500275	763.99987793	-0.50000000	55.60009384	340897.00000000	554231.00000000	0.00000000	81573.00000000	2000023.00000000	-5.72888088	-9.56502056	-5.75373268	-9.56121349	0.00000000	0.00000000	0.00000000	500.16485596	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.60178524	0.00000000	764.00213623	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	-0.50000000	0.00000000
02:48:13	75.60700226	765.00830078	0.50000000	55.60009384	341148.00000000	549518.00000000	0.00000000	81790.00000000	2000023.00000000	5.84613180	9.56860733	5.85931206	9.56697178	0.00000000	0.00000000	0.00000000	500.06118774	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.61245364	0.00000000	765.00500488	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	0.50000000	0.00000000
02:48:17	79.45400238	765.00170898	-0.50000000	55.60009384	341007.00000000	552906.00000000	0.00000000	81824.00000000	2000023.00000000	-5.73152685	-9.56286335	-5.74604416	-9.56092930	0.00000000	0.00000000	0.00000000	499.98049927	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.60099381	0.00000000	765.00390625	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	-0.50000000	0.00000000
02:48:21	83.62000275	766.00946045	0.50000000	55.60009384	341255.00000000	548884.00000000	0.00000000	82749.00000000	2000024.00000000	5.84561682	9.56887913	5.85377216	9.56787872	0.00000000	0.00000000	0.00000000	499.88476562	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.61181569	0.00000000	766.00610352	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	0.50000000	0.00000000
02:48:25	87.54399872	765.99951172	-0.50000000	55.60009384	341621.00000000	553044.00000000	0.00000000	82747.00000000	2000023.00000000	-5.73734665	-9.56455612	-5.75018597	-9.56286049	0.00000000	0.00000000	0.00000000	500.49435425	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.60130548	0.00000000	765.99951172	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	-0.50000000	0.00000000
02:48:29	91.62100220	767.00653076	0.50000000	55.60009384	341937.00000000	549029.00000000	0.00000000	83602.00000000	2000024.00000000	5.84504175	9.56814671	5.85251570	9.56745815	0.00000000	0.00000000	0.00000000	500.41119385	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.61171120	0.00000000	767.00653076	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	0.50000000	0.00000000
02:48:33	95.57700348	766.99877930	-0.50000000	55.60009384	341985.00000000	552125.00000000	0.00000000	83612.00000000	2000023.00000000	-5.73332214	-9.56303787	-5.73961782	-9.56356716	0.00000000	0.00000000	0.00000000	500.31430054	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.60015446	0.00000000	766.99987793	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	-0.50000000	0.00000000
02:48:37	99.49400330	768.00286865	0.50000000	55.60009384	342177.00000000	548471.00000000	0.00000000	84095.00000000	2000024.00000000	5.85158777	9.56812954	5.86573458	9.56643867	0.00000000	0.00000000	0.00000000	500.23858643	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.61315924	0.00000000	768.00067139	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	0.50000000	0.00000000
02:48:41	103.44899750	768.00286865	-0.50000000	55.60009384	342077.00000000	551997.00000000	0.00000000	84396.00000000	2000023.00000000	-5.73211288	-9.56434345	-5.73914194	-9.56380463	0.00000000	0.00000000	0.00000000	500.15179443	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.60009003	0.00000000	767.99841309	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	-0.50000000	0.00000000
02:48:45	107.39099884	769.00628662	0.50000000	55.60009384	342438.00000000	548053.00000000	0.00000000	84676.00000000	2000024.00000000	5.84369898	9.56848907	5.86131191	9.56526375	0.00000000	0.00000000	0.00000000	500.06387329	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.61277509	0.00000000	769.00848389	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	0.50000000	0.00000000
02:48:49	111.21399689	769.02862549	-0.50000000	55.60009384	342413.00000000	551731.00000000	0.00000000	86984.00000000	2000023.00000000	-5.73063135	-9.56454372	-5.75017977	-9.56132984	0.00000000	0.00000000	0.00000000	500.18289185	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.60140383	0.00000000	769.02746582	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	-0.50000000	0.00000000
02:48:52	115.15200043	769.99884033	0.50000000	55.60009384	342714.00000000	547976.00000000	0.00000000	84659.00000000	2000023.00000000	5.84635258	9.56787300	5.85911894	9.56594563	0.00000000	0.00000000	0.00000000	500.38333130	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.61249954	0.00000000	769.99884033	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	0.50000000	0.00000000
02:48:56	119.05699921	770.00109863	-0.50000000	55.60009384	342519.00000000	551341.00000000	0.00000000	84590.00000000	2000023.00000000	-5.73229837	-9.56455040	-5.74147177	-9.56419277	0.00000000	0.00000000	0.00000000	500.30093384	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.60030931	0.00000000	770.00109863	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	-0.50000000	0.00000000
02:49:00	123.00499725	771.00415039	0.50000000	55.60009384	342693.00000000	548091.00000000	0.00000000	86257.00000000	2000024.00000000	5.84251833	9.56721497	5.85917282	9.56521988	0.00000000	0.00000000	0.00000000	500.21072388	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.61255187	0.00000000	771.00524902	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	0.50000000	0.00000000
02:49:04	126.89800262	770.99853516	-0.50000000	55.60009384	342535.00000000	551283.00000000	0.00000000	85483.00000000	2000024.00000000	-5.72758150	-9.56496906	-5.73758268	-9.56414127	0.00000000	0.00000000	0.00000000	500.12680054	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.59990627	0.00000000	770.99511719	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	-0.50000000	0.00000000
02:49:08	130.97700500	772.00976562	0.50000000	55.60009384	342820.00000000	548519.00000000	0.00000000	85727.00000000	2000023.00000000	5.84107399	9.57085419	5.85033655	9.56962204	0.00000000	0.00000000	0.00000000	500.04058838	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.61134529	0.00000000	772.00860596	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	0.50000000	0.00000000
02:49:12	134.78999329	771.99853516	-0.50000000	55.60009384	342964.00000000	551712.00000000	0.00000000	85850.00000000	2000023.00000000	-5.73022747	-9.56514931	-5.74708462	-9.56286144	0.00000000	0.00000000	0.00000000	500.25079346	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.60098284	0.00000000	772.00079346	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	-0.50000000	0.00000000
02:49:16	138.71099854	773.00561523	0.50000000	55.60009384	343428.00000000	549612.00000000	0.00000000	85888.00000000	2000024.00000000	5.83856201	9.56882954	5.85102081	9.56717873	0.00000000	0.00000000	0.00000000	500.70779419	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.61157417	0.00000000	773.00671387	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	0.50000000	0.00000000
02:49:20	142.62600708	773.00109863	-0.50000000	55.60009384	343382.00000000	552213.00000000	0.00000000	86172.00000000	2000024.00000000	-5.73160744	-9.56468010	-5.73843479	-9.56325817	0.00000000	0.00000000	0.00000000	500.62136841	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.60005057	0.00000000	773.00000000	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	-0.50000000	0.00000000
