Date: 5/12/2015
From File
Magnet Field
C:\experiments\Alpha\Beamline\Scanfiles\Ichiro\2015_Alnico\XMCD_Co_Alnico_Lum.scn
Delay After Move (s): 0.50000000
Count Time (s): 2.00000000
Scan Number: 2
Stay at End: 1
Description Length: 0

Time of Day	Time (s)	Energy	Magnet Field	Z	Counter 0	Counter 1	Counter 2	Counter 3	Counter 6	Raw Magnet Voltage	Raw Magnet Current	Magnet Voltage	Magnet Current	Temperature A	Temperature B	Glowbar	Beam Current	Heater Power	Heater Range	Injection	Hall Probe 1	Hall Probe 2	Hall Probe 3	Hall Probe 4	AI 0	AI 1	Magnet Resistance	Gate	Energy	Aperture Position	Aperture Size	X	Y	Z	Theta	Magnet Field	Keithley Volt Source 22
03:16:27	1769.40502930	834.99896240	0.50000000	55.60009384	338192.00000000	635409.00000000	0.00000000	33975.00000000	2000023.00000000	5.84232998	9.56739044	5.84961081	9.56706142	0.00000000	0.00000000	0.00000000	500.35302734	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.61143267	0.00000000	834.99768066	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	0.50000000	0.00000000
03:16:31	1773.29797363	835.00427246	-0.50000000	55.60009384	338398.00000000	640000.00000000	0.00000000	33789.00000000	2000023.00000000	-5.73189735	-9.56508350	-5.74183083	-9.56434822	0.00000000	0.00000000	0.00000000	500.53497314	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.60033756	0.00000000	835.00158691	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	-0.50000000	0.00000000
03:16:35	1777.26501465	836.01495361	0.50000000	55.60009384	338050.00000000	635424.00000000	0.00000000	41767.00000000	2000023.00000000	5.84657669	9.56794262	5.85826254	9.56673717	0.00000000	0.00000000	0.00000000	500.44094849	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.61235833	0.00000000	836.01367187	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	0.50000000	0.00000000
03:16:38	1781.11206055	835.99389648	-0.50000000	55.60009384	337877.00000000	639042.00000000	0.00000000	41460.00000000	2000023.00000000	-5.73138857	-9.56469440	-5.74905443	-9.56175041	0.00000000	0.00000000	0.00000000	500.36102295	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.60125917	0.00000000	835.99914551	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	-0.50000000	0.00000000
03:16:42	1785.03796387	837.00964355	0.50000000	55.60009384	337525.00000000	633969.00000000	0.00000000	43913.00000000	2000023.00000000	5.84200811	9.56737804	5.85376453	9.56574059	0.00000000	0.00000000	0.00000000	500.27081299	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.61195201	0.00000000	837.00964355	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	0.50000000	0.00000000
03:16:46	1788.86401367	837.00170898	-0.50000000	55.60009384	337580.00000000	638172.00000000	0.00000000	44998.00000000	2000023.00000000	-5.73610020	-9.56468868	-5.75281143	-9.56193829	0.00000000	0.00000000	0.00000000	500.18496704	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.60163993	0.00000000	837.00036621	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	-0.50000000	0.00000000
03:16:50	1792.77001953	838.00799561	0.50000000	55.60009384	337353.00000000	633106.00000000	0.00000000	45460.00000000	2000023.00000000	5.84843159	9.56775379	5.86510324	9.56489944	0.00000000	0.00000000	0.00000000	500.10620117	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.61319298	0.00000000	838.00537109	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	0.50000000	0.00000000
03:16:54	1796.77502441	838.00140381	-0.50000000	55.60009384	337346.00000000	637284.00000000	0.00000000	45421.00000000	2000023.00000000	-5.72908211	-9.56412125	-5.73880148	-9.56326199	0.00000000	0.00000000	0.00000000	500.01101685	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.60008883	0.00000000	838.00140381	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	-0.50000000	0.00000000
03:16:58	1800.68896484	839.01275635	0.50000000	55.60009384	337413.00000000	632784.00000000	0.00000000	46256.00000000	2000023.00000000	5.84385014	9.56882572	5.85312939	9.56778908	0.00000000	0.00000000	0.00000000	500.34899902	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.61175454	0.00000000	839.01275635	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	0.50000000	0.00000000
03:17:02	1804.53894043	838.99810791	-0.50000000	55.60009384	337568.00000000	637415.00000000	0.00000000	46375.00000000	2000023.00000000	-5.73275232	-9.56474972	-5.75840807	-9.55978012	0.00000000	0.00000000	0.00000000	500.55462646	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.60236621	0.00000000	838.99682617	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	-0.50000000	0.00000000
03:17:06	1808.47900391	840.00659180	0.50000000	55.60009384	337340.00000000	632321.00000000	0.00000000	46455.00000000	2000024.00000000	5.84250546	9.56916904	5.86406374	9.56577492	0.00000000	0.00000000	0.00000000	500.47164917	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.61302960	0.00000000	840.00659180	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	0.50000000	0.00000000
03:17:10	1812.31494141	840.00921631	-0.50000000	55.60009384	337264.00000000	636903.00000000	0.00000000	46961.00000000	2000023.00000000	-5.73417091	-9.56457329	-5.75010920	-9.56253815	0.00000000	0.00000000	0.00000000	500.38256836	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.60131836	0.00000000	840.00787354	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	-0.50000000	0.00000000
03:17:14	1816.44396973	841.00140381	0.50000000	55.60009384	336871.00000000	631404.00000000	0.00000000	47027.00000000	2000023.00000000	5.84308672	9.56836224	5.84996080	9.56817436	0.00000000	0.00000000	0.00000000	500.30093384	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.61139804	0.00000000	841.00274658	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	0.50000000	0.00000000
03:17:18	1820.20300293	841.00006104	-0.50000000	55.60009384	336776.00000000	635793.00000000	0.00000000	46430.00000000	2000024.00000000	-5.73431444	-9.56423283	-5.75557709	-9.56086063	0.00000000	0.00000000	0.00000000	500.21951294	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.60199803	0.00000000	840.99737549	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	-0.50000000	0.00000000
